date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2022-06-13,AAPL,2022-06-24,110.0,Call,21.9,22.45,0.6316,0.9566,0.0064,-0.0629,0.0211,0.0313
2022-06-13,AAPL,2022-06-24,110.0,Put,0.28,0.31,0.6444,-0.0464,0.0066,-0.0651,0.0222,-0.0019
2022-06-13,AAPL,2022-06-24,115.0,Call,17.1,17.95,0.615,0.9097,0.0116,-0.1065,0.0372,0.0309
2022-06-13,AAPL,2022-06-24,115.0,Put,0.53,0.57,0.5968,-0.0843,0.0113,-0.0958,0.0354,-0.0035
2022-06-13,AAPL,2022-06-24,120.0,Call,12.6,13.35,0.5592,0.8471,0.0185,-0.1398,0.0541,0.0297
2022-06-13,AAPL,2022-06-24,120.0,Put,1.01,1.04,0.5518,-0.15,0.0185,-0.1335,0.0534,-0.0063
2022-06-13,AAPL,2022-06-24,125.0,Call,8.5,9.05,0.5064,0.7442,0.0277,-0.1716,0.0736,0.0269
2022-06-13,AAPL,2022-06-24,125.0,Put,1.9,1.94,0.5141,-0.2585,0.0275,-0.1722,0.074,-0.0108
2022-06-13,AAPL,2022-06-24,127.0,Call,7.35,7.55,0.5115,0.6815,0.0305,-0.1919,0.0817,0.0248
2022-06-13,AAPL,2022-06-24,127.0,Put,2.42,2.48,0.5001,-0.3154,0.0312,-0.1848,0.0809,-0.0122
2022-06-13,AAPL,2022-06-24,129.0,Call,5.95,6.2,0.4951,0.619,0.0336,-0.1981,0.0872,0.0228
2022-06-13,AAPL,2022-06-24,129.0,Put,3.05,3.15,0.4872,-0.3797,0.0343,-0.1927,0.0875,-0.0146
2022-06-13,AAPL,2022-06-24,132.0,Call,4.2,4.35,0.4729,0.5132,0.0368,-0.1978,0.0913,0.0191
2022-06-13,AAPL,2022-06-24,132.0,Put,4.25,4.35,0.4657,-0.4874,0.0376,-0.1928,0.0913,-0.0183
2022-06-13,AAPL,2022-06-24,135.0,Call,2.8,2.84,0.453,0.3994,0.0372,-0.1833,0.0884,0.0150
2022-06-13,AAPL,2022-06-24,135.0,Put,5.7,5.9,0.4407,-0.6047,0.0384,-0.1758,0.0879,-0.0221
2022-06-13,AAPL,2022-06-24,137.0,Call,2.0,2.06,0.4384,0.323,0.0358,-0.1648,0.0822,0.0122
2022-06-13,AAPL,2022-06-24,137.0,Put,7.0,7.15,0.433,-0.6801,0.0363,-0.16,0.0826,-0.0242
2022-06-13,AAPL,2022-06-24,140.0,Call,1.18,1.2,0.425,0.2207,0.0305,-0.1319,0.0679,0.0084
2022-06-13,AAPL,2022-06-24,140.0,Put,8.8,9.3,0.39,-0.8021,0.0314,-0.1112,0.0656,-0.0266
2022-06-13,AAPL,2022-06-24,142.0,Call,0.77,0.8,0.415,0.1618,0.0258,-0.1063,0.0561,0.0062
2022-06-13,AAPL,2022-06-24,142.0,Put,10.65,10.9,0.3964,-0.8512,0.0258,-0.0938,0.0545,-0.0269
2022-06-13,AAPL,2022-06-24,145.0,Call,0.41,0.43,0.4099,0.0978,0.0184,-0.074,0.0395,0.0038
2022-06-13,AAPL,2022-06-24,145.0,Put,12.95,13.85,0.3792,-0.9215,0.0172,-0.0558,0.0331,-0.0252
2022-06-13,AAPL,2022-06-24,148.0,Call,0.22,0.24,0.4132,0.0583,0.0123,-0.0503,0.0267,0.0022
2022-06-13,AAPL,2022-06-24,148.0,Put,15.85,16.75,0.4038,-0.9477,0.0119,-0.043,0.0243,-0.0236
2022-06-13,AAPL,2022-06-24,152.5,Call,0.09,0.11,0.427,0.0274,0.0065,-0.0282,0.0145,0.0011
2022-06-13,AAPL,2022-06-24,152.5,Put,20.25,21.4,0.4963,-0.9511,0.0091,-0.0503,0.0246,-0.0245
2022-06-13,AAPL,2022-06-24,155.0,Call,0.07,0.08,0.4462,0.0205,0.0048,-0.023,0.0113,0.0008
2022-06-13,AAPL,2022-06-24,155.0,Put,22.95,23.2,0.4462,-0.9814,0.0048,-0.0194,0.0112,-0.0172
2022-06-13,AAPL,2022-06-24,157.5,Call,0.05,0.06,0.4624,0.015,0.0036,-0.0183,0.0087,0.0006
2022-06-13,AAPL,2022-06-24,157.5,Put,25.15,26.1,0.4038,-0.9961,0.002,-0.004,0.0031,-0.0050
2022-06-13,AAPL,2022-06-24,162.5,Call,0.03,0.04,0.5014,0.0093,0.0022,-0.0131,0.0057,0.0004
2022-06-13,AAPL,2022-06-24,162.5,Put,30.05,31.3,0.5565,-0.9843,0.0034,-0.0211,0.0093,-0.0176
2022-06-13,AAPL,2022-06-24,165.0,Call,0.02,0.04,0.522,0.0076,0.0018,-0.0115,0.0048,0.0003
2022-06-13,AAPL,2022-06-24,165.0,Put,32.65,33.6,0.6041,-0.9829,0.0033,-0.0248,0.0099,-0.0188
2022-06-13,AAPL,2022-06-24,167.5,Call,0.02,0.03,0.5426,0.0064,0.0014,-0.0102,0.0041,0.0002
2022-06-13,AAPL,2022-06-24,167.5,Put,33.4,38.0,0.6517,-0.9817,0.0032,-0.0287,0.0115,-0.0200
2022-06-13,AAPL,2022-06-24,172.5,Call,0.01,0.05,0.5719,0.004,0.0009,-0.007,0.0027,0.0002
2022-06-13,AAPL,2022-06-24,172.5,Put,38.85,42.7,0.6208,-0.9942,0.0014,-0.0093,0.0042,-0.0105
2022-06-13,AAPL,2022-07-08,90.0,Call,41.65,42.95,0.8281,0.9696,0.0024,-0.0415,0.0238,0.0586
2022-06-13,AAPL,2022-07-08,90.0,Put,0.11,0.13,0.6899,-0.0136,0.0015,-0.0165,0.012,-0.0013
2022-06-13,AAPL,2022-07-08,95.0,Call,36.5,38.35,0.7707,0.9582,0.0034,-0.0497,0.0308,0.0609
2022-06-13,AAPL,2022-07-08,95.0,Put,0.18,0.21,0.6512,-0.022,0.0023,-0.0235,0.0181,-0.0021
2022-06-13,AAPL,2022-07-08,100.0,Call,31.85,33.1,0.6835,0.9495,0.0044,-0.0513,0.0359,0.0635
2022-06-13,AAPL,2022-07-08,100.0,Put,0.3,0.33,0.6138,-0.0354,0.0037,-0.0329,0.0269,-0.0034
2022-06-13,AAPL,2022-07-08,105.0,Call,26.8,28.25,0.5962,0.9386,0.0059,-0.0523,0.0419,0.0659
2022-06-13,AAPL,2022-07-08,105.0,Put,0.48,0.51,0.5748,-0.0554,0.0056,-0.0442,0.0386,-0.0053
2022-06-13,AAPL,2022-07-08,110.0,Call,22.6,23.4,0.5846,0.8973,0.0089,-0.0745,0.0617,0.0653
2022-06-13,AAPL,2022-07-08,110.0,Put,0.8,0.83,0.544,-0.0885,0.0085,-0.0599,0.0554,-0.0086
2022-06-13,AAPL,2022-07-08,115.0,Call,18.1,18.55,0.5213,0.8592,0.0124,-0.0827,0.0771,0.0650
2022-06-13,AAPL,2022-07-08,115.0,Put,1.27,1.31,0.5101,-0.1359,0.0124,-0.0766,0.0735,-0.0124
2022-06-13,AAPL,2022-07-08,120.0,Call,13.85,14.55,0.5001,0.7857,0.0169,-0.1029,0.1007,0.0612
2022-06-13,AAPL,2022-07-08,120.0,Put,2.05,2.11,0.483,-0.2074,0.0172,-0.0951,0.0986,-0.0187
2022-06-13,AAPL,2022-07-08,125.0,Call,10.15,10.55,0.468,0.6928,0.0218,-0.1155,0.1213,0.0555
2022-06-13,AAPL,2022-07-08,125.0,Put,3.2,3.3,0.4554,-0.3036,0.0223,-0.1093,0.1207,-0.0271
2022-06-13,AAPL,2022-07-08,130.0,Call,7.0,7.15,0.4426,0.5742,0.0257,-0.1215,0.1353,0.0470
2022-06-13,AAPL,2022-07-08,130.0,Put,4.9,5.0,0.4297,-0.4252,0.0266,-0.1154,0.135,-0.0372
2022-06-13,AAPL,2022-07-08,135.0,Call,4.35,4.45,0.4162,0.4385,0.0274,-0.1146,0.136,0.0366
2022-06-13,AAPL,2022-07-08,135.0,Put,7.2,7.4,0.4053,-0.5649,0.0283,-0.1088,0.1351,-0.0477
2022-06-13,AAPL,2022-07-08,140.0,Call,2.42,2.49,0.3933,0.3004,0.0256,-0.0954,0.1201,0.0254
2022-06-13,AAPL,2022-07-08,140.0,Put,10.25,10.55,0.385,-0.7056,0.0262,-0.0899,0.122,-0.0565
2022-06-13,AAPL,2022-07-08,145.0,Call,1.22,1.27,0.378,0.1832,0.0203,-0.0698,0.0916,0.0157
2022-06-13,AAPL,2022-07-08,145.0,Put,14.0,14.55,0.376,-0.82,0.0205,-0.066,0.0918,-0.0604
2022-06-13,AAPL,2022-07-08,150.0,Call,0.57,0.61,0.3702,0.1013,0.0139,-0.0456,0.0611,0.0087
2022-06-13,AAPL,2022-07-08,150.0,Put,18.2,18.95,0.3587,-0.909,0.0136,-0.0384,0.0582,-0.0564
2022-06-13,AAPL,2022-07-08,155.0,Call,0.27,0.3,0.3721,0.0543,0.0086,-0.0285,0.038,0.0047
2022-06-13,AAPL,2022-07-08,155.0,Put,22.85,23.65,0.3431,-0.9635,0.0074,-0.0171,0.0301,-0.0420
2022-06-13,AAPL,2022-07-08,160.0,Call,0.14,0.16,0.3823,0.0303,0.0052,-0.0182,0.0237,0.0026
2022-06-13,AAPL,2022-07-08,160.0,Put,27.7,28.6,0.3417,-0.9869,0.0038,-0.0066,0.0126,-0.0225
2022-06-13,AAPL,2022-07-08,165.0,Call,0.08,0.11,0.4028,0.0194,0.0034,-0.0132,0.0162,0.0017
2022-06-13,AAPL,2022-07-08,165.0,Put,32.45,33.55,0.4028,-0.9844,0.0035,-0.0094,0.015,-0.0287
2022-06-13,AAPL,2022-07-08,170.0,Call,0.05,0.07,0.4206,0.0123,0.0022,-0.0093,0.011,0.0011
2022-06-13,AAPL,2022-07-08,170.0,Put,37.55,38.55,0.4206,-0.9915,0.0023,-0.0055,0.0091,-0.0175
2022-06-13,AAPL,2022-07-29,90.0,Call,40.0,44.6,0.5985,0.9719,0.0023,-0.0216,0.0302,0.1082
2022-06-13,AAPL,2022-07-29,90.0,Put,0.39,0.5,0.6344,-0.0349,0.0026,-0.0247,0.036,-0.0064
2022-06-13,AAPL,2022-07-29,95.0,Call,35.5,39.8,0.609,0.9485,0.0037,-0.0347,0.0494,0.1102
2022-06-13,AAPL,2022-07-29,95.0,Put,0.57,0.7,0.6016,-0.0497,0.0036,-0.0313,0.0481,-0.0091
2022-06-13,AAPL,2022-07-29,100.0,Call,31.6,35.15,0.6401,0.9092,0.0055,-0.0552,0.0765,0.1090
2022-06-13,AAPL,2022-07-29,100.0,Put,0.87,0.93,0.5699,-0.0702,0.005,-0.0388,0.063,-0.0128
2022-06-13,AAPL,2022-07-29,105.0,Call,28.2,28.85,0.5708,0.8909,0.007,-0.0563,0.0875,0.1121
2022-06-13,AAPL,2022-07-29,105.0,Put,1.27,1.58,0.5579,-0.1044,0.007,-0.0513,0.0849,-0.0180
2022-06-13,AAPL,2022-07-29,110.0,Call,23.8,26.25,0.6213,0.8258,0.0088,-0.0832,0.1203,0.1057
2022-06-13,AAPL,2022-07-29,110.0,Put,1.86,2.0,0.5239,-0.1412,0.0092,-0.0594,0.1074,-0.0242
2022-06-13,AAPL,2022-07-29,115.0,Call,19.65,21.7,0.5713,0.7829,0.011,-0.0873,0.1376,0.1040
2022-06-13,AAPL,2022-07-29,115.0,Put,2.65,3.15,0.513,-0.1979,0.0116,-0.0723,0.1305,-0.0338
2022-06-13,AAPL,2022-07-29,120.0,Call,15.85,18.5,0.5653,0.7177,0.0128,-0.099,0.1582,0.0976
2022-06-13,AAPL,2022-07-29,120.0,Put,3.7,3.9,0.4764,-0.2582,0.0146,-0.0778,0.1521,-0.0436
2022-06-13,AAPL,2022-07-29,125.0,Call,12.3,14.85,0.5327,0.6493,0.0149,-0.1021,0.1735,0.0908
2022-06-13,AAPL,2022-07-29,125.0,Put,5.2,5.55,0.4632,-0.3395,0.017,-0.0856,0.1702,-0.0569
2022-06-13,AAPL,2022-07-29,130.0,Call,9.2,9.65,0.4526,0.5699,0.0185,-0.092,0.1839,0.0828
2022-06-13,AAPL,2022-07-29,130.0,Put,7.05,7.35,0.4407,-0.4303,0.0192,-0.0872,0.1846,-0.0707
2022-06-13,AAPL,2022-07-29,135.0,Call,6.65,6.95,0.4348,0.4731,0.0196,-0.0893,0.1863,0.0700
2022-06-13,AAPL,2022-07-29,135.0,Put,9.4,9.75,0.4228,-0.5301,0.0202,-0.0843,0.1866,-0.0854
2022-06-13,AAPL,2022-07-29,140.0,Call,4.55,4.8,0.4184,0.3741,0.0193,-0.0817,0.1774,0.0563
2022-06-13,AAPL,2022-07-29,140.0,Put,12.2,12.65,0.4047,-0.6331,0.02,-0.076,0.1739,-0.0984
2022-06-13,AAPL,2022-07-29,145.0,Call,2.97,3.2,0.4059,0.2813,0.0178,-0.0705,0.1579,0.0429
2022-06-13,AAPL,2022-07-29,145.0,Put,15.5,17.25,0.4245,-0.7093,0.0174,-0.0723,0.1585,-0.1080
2022-06-13,AAPL,2022-07-29,150.0,Call,1.8,1.99,0.3917,0.198,0.0152,-0.056,0.1303,0.0305
2022-06-13,AAPL,2022-07-29,150.0,Put,19.4,21.1,0.4187,-0.7856,0.0151,-0.0601,0.1385,-0.1138
2022-06-13,AAPL,2022-07-29,155.0,Call,1.05,1.2,0.3822,0.1324,0.012,-0.0421,0.1003,0.0206
2022-06-13,AAPL,2022-07-29,155.0,Put,23.65,24.3,0.3667,-0.8815,0.0119,-0.0349,0.0918,-0.1083
2022-06-13,AAPL,2022-07-29,160.0,Call,0.62,0.77,0.3823,0.0887,0.009,-0.0315,0.0752,0.0139
2022-06-13,AAPL,2022-07-29,160.0,Put,26.45,30.85,0.3753,-0.9191,0.0089,-0.0265,0.0703,-0.1013
2022-06-13,AAPL,2022-07-29,165.0,Call,0.38,0.51,0.3871,0.06,0.0066,-0.0236,0.0558,0.0094
2022-06-13,AAPL,2022-07-29,165.0,Put,32.0,35.5,0.4341,-0.9178,0.0078,-0.0313,0.0714,-0.1070
2022-06-13,AAPL,2022-07-29,170.0,Call,0.21,0.32,0.3872,0.0383,0.0046,-0.0165,0.0389,0.0060
2022-06-13,AAPL,2022-07-29,170.0,Put,37.85,40.5,0.5325,-0.8956,0.0074,-0.0468,0.084,-0.1197
2022-06-15,AAPL,2022-07-01,95.0,Call,39.9,41.15,0.7956,0.9866,0.0015,-0.0264,0.0097,0.0408
2022-06-15,AAPL,2022-07-01,95.0,Put,0.01,0.05,0.6999,-0.0063,0.0009,-0.011,0.005,-0.0004
2022-06-15,AAPL,2022-07-01,100.0,Call,35.0,36.5,0.8079,0.97,0.003,-0.051,0.0193,0.0419
2022-06-15,AAPL,2022-07-01,100.0,Put,0.05,0.09,0.6494,-0.0107,0.0015,-0.0162,0.008,-0.0007
2022-06-15,AAPL,2022-07-01,105.0,Call,29.65,31.3,0.4238,0.9982,0.0005,-0.0045,0.0016,0.0459
2022-06-15,AAPL,2022-07-01,105.0,Put,0.09,0.14,0.5982,-0.0179,0.0026,-0.0234,0.0125,-0.0011
2022-06-15,AAPL,2022-07-01,110.0,Call,25.0,26.35,0.5545,0.9681,0.0046,-0.0376,0.0203,0.0462
2022-06-15,AAPL,2022-07-01,110.0,Put,0.16,0.25,0.5548,-0.032,0.0046,-0.0352,0.0203,-0.0020
2022-06-15,AAPL,2022-07-01,115.0,Call,20.6,21.5,0.57,0.9241,0.0088,-0.0746,0.0405,0.0456
2022-06-15,AAPL,2022-07-01,115.0,Put,0.37,0.43,0.5223,-0.0601,0.0081,-0.055,0.0338,-0.0037
2022-06-15,AAPL,2022-07-01,120.0,Call,15.95,16.7,0.507,0.8842,0.0136,-0.09,0.0553,0.0453
2022-06-15,AAPL,2022-07-01,120.0,Put,0.66,0.69,0.4738,-0.1015,0.0132,-0.0742,0.0503,-0.0063
2022-06-15,AAPL,2022-07-01,125.0,Call,11.5,12.05,0.4452,0.8188,0.0209,-0.1063,0.0747,0.0434
2022-06-15,AAPL,2022-07-01,125.0,Put,1.22,1.28,0.4383,-0.1777,0.021,-0.1009,0.0754,-0.0104
2022-06-15,AAPL,2022-07-01,127.0,Call,9.8,10.8,0.4521,0.7674,0.0238,-0.1246,0.0866,0.0410
2022-06-15,AAPL,2022-07-01,127.0,Put,1.48,1.69,0.4239,-0.2197,0.0247,-0.1109,0.0824,-0.0128
2022-06-15,AAPL,2022-07-01,130.0,Call,7.55,8.1,0.413,0.6988,0.0298,-0.1295,0.0987,0.0380
2022-06-15,AAPL,2022-07-01,130.0,Put,2.21,2.33,0.4048,-0.2981,0.0304,-0.124,0.0999,-0.0171
2022-06-15,AAPL,2022-07-01,133.0,Call,5.5,5.95,0.3905,0.6052,0.0348,-0.135,0.1091,0.0334
2022-06-15,AAPL,2022-07-01,133.0,Put,3.05,3.35,0.3858,-0.3941,0.0354,-0.1309,0.1086,-0.0224
2022-06-15,AAPL,2022-07-01,135.0,Call,4.45,4.6,0.3793,0.5336,0.037,-0.1352,0.1127,0.0297
2022-06-15,AAPL,2022-07-01,135.0,Put,3.95,4.05,0.3746,-0.4667,0.0376,-0.1311,0.1128,-0.0261
2022-06-15,AAPL,2022-07-01,138.0,Call,2.92,3.05,0.3613,0.4184,0.0381,-0.1263,0.1107,0.0235
2022-06-15,AAPL,2022-07-01,138.0,Put,5.35,5.65,0.3601,-0.5824,0.0384,-0.1233,0.1108,-0.0317
2022-06-15,AAPL,2022-07-01,141.0,Call,1.69,1.9,0.343,0.3014,0.0358,-0.1068,0.0988,0.0171
2022-06-15,AAPL,2022-07-01,141.0,Put,7.2,7.55,0.3484,-0.6962,0.0356,-0.1064,0.0994,-0.0362
2022-06-15,AAPL,2022-07-01,144.0,Call,0.93,1.11,0.3327,0.2002,0.0297,-0.0832,0.0794,0.0114
2022-06-15,AAPL,2022-07-01,144.0,Put,9.0,9.8,0.3138,-0.8164,0.0302,-0.072,0.0743,-0.0386
2022-06-15,AAPL,2022-07-01,146.0,Call,0.6,0.73,0.3263,0.1444,0.0246,-0.0661,0.0644,0.0083
2022-06-15,AAPL,2022-07-01,146.0,Put,10.6,11.45,0.2989,-0.88,0.0241,-0.051,0.06,-0.0376
2022-06-15,AAPL,2022-07-01,149.0,Call,0.36,0.4,0.3304,0.09,0.0173,-0.0478,0.046,0.0052
2022-06-15,AAPL,2022-07-01,149.0,Put,13.4,14.2,0.3044,-0.9306,0.016,-0.034,0.0406,-0.0345
2022-06-15,AAPL,2022-07-01,152.5,Call,0.17,0.2,0.3333,0.0483,0.0106,-0.0298,0.0285,0.0028
2022-06-15,AAPL,2022-07-01,152.5,Put,15.0,19.2,0.2727,-0.9832,0.0065,-0.0087,0.0127,-0.0179
2022-06-15,AAPL,2022-07-01,155.0,Call,0.1,0.13,0.3393,0.0314,0.0074,-0.0214,0.0201,0.0018
2022-06-15,AAPL,2022-07-01,155.0,Put,18.8,20.65,0.372,-0.9569,0.0091,-0.0283,0.0273,-0.0319
2022-06-15,AAPL,2022-07-01,160.0,Call,0.05,0.07,0.3662,0.0165,0.004,-0.0134,0.0117,0.0010
2022-06-15,AAPL,2022-07-01,160.0,Put,24.3,24.85,0.3662,-0.9864,0.004,-0.0099,0.0105,-0.0184
2022-06-15,AAPL,2022-07-01,162.5,Call,0.01,0.06,0.3838,0.0131,0.0031,-0.0115,0.0095,0.0008
2022-06-15,AAPL,2022-07-01,162.5,Put,26.5,28.15,0.436,-0.9767,0.0049,-0.0195,0.0172,-0.0268
2022-06-15,AAPL,2022-07-01,165.0,Call,0.03,0.05,0.4013,0.0106,0.0025,-0.01,0.0079,0.0006
2022-06-15,AAPL,2022-07-01,165.0,Put,28.95,30.5,0.5058,-0.9667,0.0054,-0.0312,0.0216,-0.0326
2022-06-15,AAPL,2022-07-01,170.0,Call,0.02,0.03,0.4289,0.0065,0.0015,-0.007,0.0052,0.0004
2022-06-15,AAPL,2022-07-01,170.0,Put,33.9,35.55,0.5682,-0.9698,0.0045,-0.0324,0.0215,-0.0329
2022-06-15,AAPL,2022-07-01,175.0,Call,0.01,0.03,0.4289,0.0025,0.0006,-0.003,0.0022,0.0001
2022-06-15,AAPL,2022-07-01,175.0,Put,37.35,41.6,0.5682,-0.9838,0.0028,-0.0185,0.0116,-0.0256
2022-06-15,AAPL,2022-07-15,95.0,Call,40.2,41.35,0.6706,0.9741,0.0023,-0.0284,0.0234,0.0749
2022-06-15,AAPL,2022-07-15,95.0,Put,0.13,0.15,0.6012,-0.0159,0.0017,-0.0154,0.0154,-0.0019
2022-06-15,AAPL,2022-07-15,100.0,Call,35.25,36.15,0.5537,0.977,0.0025,-0.0219,0.0212,0.0794
2022-06-15,AAPL,2022-07-15,100.0,Put,0.21,0.23,0.5648,-0.0251,0.0027,-0.0213,0.0227,-0.0030
2022-06-15,AAPL,2022-07-15,105.0,Call,30.45,31.25,0.5285,0.9608,0.0041,-0.0314,0.0329,0.0816
2022-06-15,AAPL,2022-07-15,105.0,Put,0.32,0.35,0.5264,-0.0386,0.0041,-0.0284,0.0325,-0.0046
2022-06-15,AAPL,2022-07-15,110.0,Call,25.85,26.5,0.5196,0.93,0.0067,-0.0476,0.0521,0.0820
2022-06-15,AAPL,2022-07-15,110.0,Put,0.51,0.54,0.4916,-0.0604,0.0063,-0.0379,0.0465,-0.0072
2022-06-15,AAPL,2022-07-15,115.0,Call,21.1,21.8,0.4743,0.899,0.0096,-0.0567,0.0686,0.0824
2022-06-15,AAPL,2022-07-15,115.0,Put,0.83,0.86,0.461,-0.0949,0.0095,-0.0502,0.0646,-0.0107
2022-06-15,AAPL,2022-07-15,120.0,Call,16.75,17.25,0.4456,0.8453,0.0138,-0.071,0.0924,0.0801
2022-06-15,AAPL,2022-07-15,120.0,Put,1.34,1.4,0.4333,-0.1485,0.0138,-0.0647,0.092,-0.0165
2022-06-15,AAPL,2022-07-15,125.0,Call,12.65,13.05,0.4186,0.7686,0.0188,-0.0848,0.1183,0.0750
2022-06-15,AAPL,2022-07-15,125.0,Put,2.15,2.25,0.4075,-0.2263,0.0191,-0.0789,0.1198,-0.0249
2022-06-15,AAPL,2022-07-15,130.0,Call,8.95,9.15,0.3877,0.6666,0.0242,-0.0933,0.1412,0.0667
2022-06-15,AAPL,2022-07-15,130.0,Put,3.4,3.55,0.3837,-0.3324,0.0245,-0.0894,0.1423,-0.0360
2022-06-15,AAPL,2022-07-15,135.0,Call,5.85,5.95,0.3644,0.5358,0.0281,-0.0954,0.1543,0.0548
2022-06-15,AAPL,2022-07-15,135.0,Put,5.25,5.4,0.3608,-0.4648,0.0285,-0.0916,0.1543,-0.0491
2022-06-15,AAPL,2022-07-15,140.0,Call,3.4,3.5,0.3426,0.3893,0.0288,-0.0863,0.1489,0.0405
2022-06-15,AAPL,2022-07-15,140.0,Put,7.8,7.95,0.3389,-0.6134,0.0293,-0.0823,0.1483,-0.0620
2022-06-15,AAPL,2022-07-15,145.0,Call,1.81,1.85,0.3286,0.2514,0.025,-0.0686,0.1237,0.0265
2022-06-15,AAPL,2022-07-15,145.0,Put,11.0,11.35,0.3175,-0.7588,0.0256,-0.062,0.1211,-0.0706
2022-06-15,AAPL,2022-07-15,150.0,Call,0.86,0.89,0.3188,0.1436,0.0183,-0.0472,0.0879,0.0153
2022-06-15,AAPL,2022-07-15,150.0,Put,14.95,15.55,0.3059,-0.87,0.0183,-0.0396,0.0836,-0.0701
2022-06-15,AAPL,2022-07-15,155.0,Call,0.39,0.42,0.3168,0.076,0.0116,-0.0296,0.0555,0.0081
2022-06-15,AAPL,2022-07-15,155.0,Put,19.55,20.1,0.3027,-0.9376,0.0111,-0.022,0.0484,-0.0594
2022-06-15,AAPL,2022-07-15,160.0,Call,0.17,0.21,0.3206,0.0392,0.0068,-0.0177,0.0329,0.0042
2022-06-15,AAPL,2022-07-15,160.0,Put,24.55,24.85,0.3233,-0.964,0.0071,-0.0147,0.0335,-0.0487
2022-06-15,AAPL,2022-07-15,165.0,Call,0.11,0.13,0.3411,0.0248,0.0044,-0.0129,0.0225,0.0027
2022-06-15,AAPL,2022-07-15,165.0,Put,29.25,30.05,0.3506,-0.9762,0.0049,-0.011,0.0226,-0.0407
2022-06-15,AAPL,2022-07-15,170.0,Call,0.07,0.09,0.3617,0.0164,0.0029,-0.0096,0.0159,0.0018
2022-06-15,AAPL,2022-07-15,170.0,Put,34.2,35.3,0.4337,-0.9642,0.0051,-0.02,0.031,-0.0554
2022-06-15,AAPL,2022-07-15,175.0,Call,0.05,0.06,0.3814,0.0112,0.002,-0.0073,0.0114,0.0012
2022-06-15,AAPL,2022-07-15,175.0,Put,39.25,40.05,0.4356,-0.9801,0.0034,-0.0118,0.0188,-0.0412
2022-06-15,AAPL,2022-08-19,95.0,Call,40.65,41.7,0.5469,0.9535,0.0032,-0.0258,0.0554,0.1277
2022-06-15,AAPL,2022-08-19,95.0,Put,0.59,0.65,0.5322,-0.0455,0.0032,-0.0222,0.0546,-0.0121
2022-06-15,AAPL,2022-08-19,100.0,Call,36.25,36.95,0.5417,0.9283,0.0045,-0.0352,0.0795,0.1317
2022-06-15,AAPL,2022-08-19,100.0,Put,0.86,0.89,0.5069,-0.0638,0.0043,-0.0276,0.0713,-0.0169
2022-06-15,AAPL,2022-08-19,105.0,Call,31.45,32.3,0.503,0.9074,0.0059,-0.0394,0.0994,0.1361
2022-06-15,AAPL,2022-08-19,105.0,Put,1.2,1.25,0.4823,-0.0881,0.0058,-0.0337,0.0903,-0.0221
2022-06-15,AAPL,2022-08-19,110.0,Call,27.15,27.75,0.484,0.872,0.0077,-0.0472,0.1203,0.1372
2022-06-15,AAPL,2022-08-19,110.0,Put,1.73,1.78,0.463,-0.1227,0.0077,-0.041,0.1167,-0.0307
2022-06-15,AAPL,2022-08-19,115.0,Call,22.8,23.35,0.4553,0.8313,0.0099,-0.0531,0.1427,0.1372
2022-06-15,AAPL,2022-08-19,115.0,Put,2.37,2.48,0.4409,-0.1658,0.0099,-0.0478,0.1446,-0.0412
2022-06-15,AAPL,2022-08-19,120.0,Call,18.8,19.3,0.4368,0.7757,0.0122,-0.0601,0.1705,0.1342
2022-06-15,AAPL,2022-08-19,120.0,Put,3.3,3.45,0.4227,-0.2219,0.0124,-0.0547,0.172,-0.0550
2022-06-15,AAPL,2022-08-19,125.0,Call,15.05,15.45,0.4154,0.7095,0.0146,-0.065,0.1953,0.1284
2022-06-15,AAPL,2022-08-19,125.0,Put,4.5,4.65,0.4025,-0.2896,0.015,-0.0597,0.1964,-0.0714
2022-06-15,AAPL,2022-08-19,130.0,Call,11.65,12.0,0.3962,0.6306,0.0169,-0.068,0.2145,0.1191
2022-06-15,AAPL,2022-08-19,130.0,Put,6.1,6.2,0.3841,-0.3704,0.0173,-0.0628,0.2153,-0.0908
2022-06-15,AAPL,2022-08-19,135.0,Call,8.7,9.0,0.3799,0.5412,0.0185,-0.0683,0.2261,0.1063
2022-06-15,AAPL,2022-08-19,135.0,Put,8.1,8.35,0.3703,-0.4621,0.0189,-0.0634,0.2265,-0.1126
2022-06-15,AAPL,2022-08-19,140.0,Call,6.25,6.4,0.3634,0.4452,0.0192,-0.0648,0.2243,0.0906
2022-06-15,AAPL,2022-08-19,140.0,Put,10.55,10.8,0.3523,-0.5607,0.0197,-0.0594,0.2244,-0.1356
2022-06-15,AAPL,2022-08-19,145.0,Call,4.25,4.4,0.3498,0.3489,0.0187,-0.0582,0.2135,0.0731
2022-06-15,AAPL,2022-08-19,145.0,Put,13.55,13.85,0.3391,-0.6593,0.0191,-0.0527,0.2132,-0.1587
2022-06-15,AAPL,2022-08-19,150.0,Call,2.83,2.88,0.3403,0.2608,0.0168,-0.0495,0.1823,0.0561
2022-06-15,AAPL,2022-08-19,150.0,Put,16.85,17.35,0.3204,-0.7563,0.0173,-0.0418,0.1815,-0.1805
2022-06-15,AAPL,2022-08-19,155.0,Call,1.78,1.84,0.3325,0.1856,0.0142,-0.0397,0.1562,0.0408
