date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2022-06-01,AAPL,2022-06-17,175.0,Call,0.07,0.1,0.3724,0.0204,0.0043,-0.0179,0.0154,0.0013
2022-06-01,AAPL,2022-06-17,175.0,Put,25.55,27.8,0.498,-0.9357,0.0083,-0.0586,0.0399,-0.0423
2022-06-01,AAPL,2022-06-17,180.0,Call,0.04,0.05,0.391,0.0111,0.0024,-0.0111,0.0091,0.0007
2022-06-01,AAPL,2022-06-17,180.0,Put,30.2,32.55,0.4491,-0.9784,0.004,-0.0206,0.0164,-0.0290
2022-06-01,AAPL,2022-06-17,185.0,Call,0.03,0.04,0.4259,0.0082,0.0017,-0.0093,0.007,0.0005
2022-06-01,AAPL,2022-06-17,185.0,Put,34.85,37.6,0.4259,-0.9945,0.0017,-0.0054,0.0051,-0.0105
2022-06-01,AAPL,2022-06-17,190.0,Call,0.02,0.04,0.4259,0.0035,0.0008,-0.0043,0.0032,0.0002
2022-06-01,AAPL,2022-06-17,190.0,Put,39.8,42.6,0.4259,-0.9995,0.0006,0.0,0.001,0.0000
2022-06-01,AAPL,2022-06-17,195.0,Call,0.01,0.03,0.4259,0.0014,0.0003,-0.0019,0.0014,0.0001
2022-06-01,AAPL,2022-06-17,195.0,Put,44.85,47.6,0.4259,-1.0,0.0,0.0,0.0,0.0000
2022-06-01,AAPL,2022-07-01,105.0,Call,41.65,46.0,0.5007,0.9938,0.0008,-0.0085,0.0074,0.0854
2022-06-01,AAPL,2022-07-01,105.0,Put,0.12,0.19,0.5921,-0.0162,0.0016,-0.017,0.0173,-0.0021
2022-06-01,AAPL,2022-07-01,110.0,Call,37.55,40.55,0.5714,0.973,0.0026,-0.0277,0.0266,0.0868
2022-06-01,AAPL,2022-07-01,110.0,Put,0.15,0.24,0.5421,-0.0216,0.0022,-0.0198,0.022,-0.0028
2022-06-01,AAPL,2022-07-01,115.0,Call,32.95,35.3,0.522,0.9639,0.0036,-0.0319,0.0338,0.0897
2022-06-01,AAPL,2022-07-01,115.0,Put,0.27,0.36,0.5151,-0.0344,0.0035,-0.0278,0.0325,-0.0045
2022-06-01,AAPL,2022-07-01,120.0,Call,28.85,29.5,0.4614,0.9548,0.0048,-0.0337,0.0406,0.0927
2022-06-01,AAPL,2022-07-01,120.0,Put,0.45,0.52,0.4846,-0.0528,0.0052,-0.0369,0.0459,-0.0068
2022-06-01,AAPL,2022-07-01,125.0,Call,24.35,25.6,0.5163,0.8947,0.0083,-0.0693,0.0777,0.0888
2022-06-01,AAPL,2022-07-01,125.0,Put,0.66,0.73,0.4467,-0.077,0.0076,-0.0456,0.0616,-0.0100
2022-06-01,AAPL,2022-07-01,130.0,Call,19.75,20.15,0.4265,0.8783,0.0111,-0.0637,0.0861,0.0909
2022-06-01,AAPL,2022-07-01,130.0,Put,1.09,1.14,0.4221,-0.1195,0.0111,-0.0594,0.085,-0.0155
2022-06-01,AAPL,2022-07-01,135.0,Call,15.4,15.75,0.399,0.8183,0.0155,-0.0772,0.1125,0.0872
2022-06-01,AAPL,2022-07-01,135.0,Put,1.73,1.78,0.3968,-0.1805,0.0156,-0.0738,0.1122,-0.0219
2022-06-01,AAPL,2022-07-01,140.0,Call,11.5,11.7,0.3781,0.7315,0.0205,-0.0908,0.1406,0.0799
2022-06-01,AAPL,2022-07-01,140.0,Put,2.7,2.91,0.3782,-0.2687,0.0205,-0.0881,0.1412,-0.0322
2022-06-01,AAPL,2022-07-01,145.0,Call,7.9,8.15,0.3533,0.6205,0.0253,-0.0974,0.1622,0.0692
2022-06-01,AAPL,2022-07-01,145.0,Put,4.15,4.3,0.3531,-0.3798,0.0254,-0.0946,0.1624,-0.0447
2022-06-01,AAPL,2022-07-01,150.0,Call,5.1,5.25,0.3369,0.4864,0.0278,-0.097,0.17,0.0552
2022-06-01,AAPL,2022-07-01,150.0,Put,5.75,6.55,0.3238,-0.5164,0.0291,-0.0905,0.1706,-0.0587
2022-06-01,AAPL,2022-07-01,155.0,Call,2.9,3.25,0.3248,0.3478,0.0267,-0.0864,0.1575,0.0400
2022-06-01,AAPL,2022-07-01,155.0,Put,9.0,9.3,0.3167,-0.6578,0.0274,-0.0809,0.1572,-0.0714
2022-06-01,AAPL,2022-07-01,160.0,Call,1.5,1.69,0.3096,0.2199,0.0224,-0.0658,0.1262,0.0256
2022-06-01,AAPL,2022-07-01,160.0,Put,12.55,13.65,0.3331,-0.7633,0.022,-0.071,0.1332,-0.0787
2022-06-01,AAPL,2022-07-01,165.0,Call,0.77,0.8,0.3036,0.1265,0.016,-0.0452,0.0885,0.0148
2022-06-01,AAPL,2022-07-01,165.0,Put,16.8,17.15,0.302,-0.8778,0.0161,-0.0413,0.0914,-0.0767
2022-06-01,AAPL,2022-07-01,170.0,Call,0.37,0.46,0.3099,0.073,0.0105,-0.0308,0.0591,0.0086
2022-06-01,AAPL,2022-07-01,170.0,Put,19.25,22.8,0.3099,-0.9306,0.0106,-0.0273,0.0617,-0.0688
2022-06-01,AAPL,2022-07-01,175.0,Call,0.19,0.27,0.3203,0.0427,0.0067,-0.0208,0.0387,0.0050
2022-06-01,AAPL,2022-07-01,175.0,Put,24.95,27.75,0.2855,-0.9786,0.0051,-0.0088,0.0238,-0.0380
2022-06-01,AAPL,2022-07-01,180.0,Call,0.11,0.16,0.3331,0.0259,0.0042,-0.0143,0.0256,0.0031
2022-06-01,AAPL,2022-07-01,180.0,Put,31.15,31.5,0.3117,-0.9862,0.0035,-0.0065,0.0168,-0.0285
2022-06-01,AAPL,2022-07-01,185.0,Call,0.05,0.09,0.3389,0.0142,0.0025,-0.0087,0.0154,0.0017
2022-06-01,AAPL,2022-07-01,185.0,Put,34.0,38.6,0.3254,-0.9939,0.0022,-0.003,0.0086,-0.0100
2022-06-01,AAPL,2022-07-01,190.0,Call,0.03,0.09,0.3611,0.0105,0.0018,-0.0072,0.0118,0.0012
2022-06-01,AAPL,2022-07-01,190.0,Put,39.0,42.65,0.3521,-0.996,0.0017,-0.0023,0.006,-0.0056
2022-06-01,AAPL,2022-07-01,195.0,Call,0.03,0.06,0.3833,0.0081,0.0014,-0.006,0.0094,0.0010
2022-06-01,AAPL,2022-07-01,195.0,Put,44.0,47.65,0.3788,-0.9972,0.0013,-0.0015,0.0045,-0.0031
2022-06-01,AAPL,2022-07-15,105.0,Call,42.65,45.65,0.5583,0.9711,0.0023,-0.0237,0.034,0.1208
2022-06-01,AAPL,2022-07-15,105.0,Put,0.25,0.29,0.535,-0.0243,0.0021,-0.0178,0.0295,-0.0047
2022-06-01,AAPL,2022-07-15,110.0,Call,38.0,40.9,0.5601,0.9508,0.0035,-0.0356,0.0526,0.1229
2022-06-01,AAPL,2022-07-15,110.0,Put,0.36,0.43,0.5076,-0.0356,0.003,-0.0232,0.0405,-0.0069
2022-06-01,AAPL,2022-07-15,115.0,Call,32.85,35.9,0.4781,0.9492,0.0042,-0.0315,0.0539,0.1287
2022-06-01,AAPL,2022-07-15,115.0,Put,0.54,0.57,0.4772,-0.0505,0.0042,-0.0289,0.0537,-0.0097
2022-06-01,AAPL,2022-07-15,120.0,Call,28.5,30.75,0.4508,0.9271,0.006,-0.0389,0.0715,0.1305
2022-06-01,AAPL,2022-07-15,120.0,Put,0.79,0.82,0.4508,-0.0729,0.006,-0.0364,0.0715,-0.0140
2022-06-01,AAPL,2022-07-15,125.0,Call,23.85,26.5,0.4443,0.8867,0.0084,-0.0523,0.0992,0.1286
2022-06-01,AAPL,2022-07-15,125.0,Put,1.16,1.2,0.4266,-0.1051,0.0083,-0.0452,0.0939,-0.0203
2022-06-01,AAPL,2022-07-15,130.0,Call,20.5,20.75,0.4093,0.847,0.0112,-0.0589,0.122,0.1270
2022-06-01,AAPL,2022-07-15,130.0,Put,1.7,1.75,0.4032,-0.1497,0.0112,-0.0548,0.1215,-0.0270
2022-06-01,AAPL,2022-07-15,135.0,Call,16.25,16.65,0.3885,0.7856,0.0145,-0.0686,0.1506,0.1210
2022-06-01,AAPL,2022-07-15,135.0,Put,2.5,2.55,0.3821,-0.2111,0.0147,-0.0644,0.1471,-0.0377
2022-06-01,AAPL,2022-07-15,140.0,Call,12.45,12.7,0.3668,0.7071,0.0182,-0.0759,0.1776,0.1116
2022-06-01,AAPL,2022-07-15,140.0,Put,3.6,3.7,0.3615,-0.291,0.0185,-0.0721,0.1798,-0.0512
2022-06-01,AAPL,2022-07-15,145.0,Call,9.05,9.25,0.3476,0.6092,0.0214,-0.08,0.1982,0.0982
2022-06-01,AAPL,2022-07-15,145.0,Put,5.1,5.3,0.3418,-0.3901,0.0219,-0.0761,0.1967,-0.0676
2022-06-01,AAPL,2022-07-15,150.0,Call,6.2,6.35,0.3308,0.4961,0.0234,-0.0788,0.206,0.0814
2022-06-01,AAPL,2022-07-15,150.0,Put,7.2,7.4,0.3239,-0.5057,0.024,-0.0746,0.2065,-0.0853
2022-06-01,AAPL,2022-07-15,155.0,Call,3.95,4.05,0.3154,0.3763,0.0233,-0.0713,0.196,0.0626
2022-06-01,AAPL,2022-07-15,155.0,Put,9.95,10.7,0.3234,-0.6209,0.023,-0.0706,0.1979,-0.1014
2022-06-01,AAPL,2022-07-15,160.0,Call,2.36,2.43,0.3046,0.2642,0.0208,-0.0592,0.1689,0.0445
2022-06-01,AAPL,2022-07-15,160.0,Put,13.35,13.6,0.2997,-0.7419,0.0212,-0.055,0.1728,-0.1123
2022-06-01,AAPL,2022-07-15,165.0,Call,1.32,1.42,0.2988,0.1733,0.0166,-0.0454,0.1323,0.0294
2022-06-01,AAPL,2022-07-15,165.0,Put,17.25,17.8,0.2978,-0.8305,0.0168,-0.0421,0.1353,-0.1151
2022-06-01,AAPL,2022-07-15,170.0,Call,0.72,0.75,0.294,0.1055,0.012,-0.0318,0.0942,0.0180
2022-06-01,AAPL,2022-07-15,170.0,Put,21.6,23.0,0.3319,-0.8662,0.0129,-0.0399,0.1129,-0.1164
2022-06-01,AAPL,2022-07-15,175.0,Call,0.4,0.42,0.2963,0.064,0.0082,-0.022,0.0647,0.0110
2022-06-01,AAPL,2022-07-15,175.0,Put,25.3,27.75,0.2836,-0.9492,0.0078,-0.0155,0.0548,-0.0856
2022-06-01,AAPL,2022-07-15,180.0,Call,0.22,0.25,0.3016,0.039,0.0054,-0.015,0.0436,0.0067
2022-06-01,AAPL,2022-07-15,180.0,Put,30.05,32.55,0.2465,-0.9927,0.0032,-0.0022,0.0126,-0.0100
2022-06-01,AAPL,2022-07-15,185.0,Call,0.15,0.2,0.32,0.0286,0.004,-0.0124,0.0338,0.0049
2022-06-01,AAPL,2022-07-15,185.0,Put,36.2,36.55,0.3178,-0.9774,0.004,-0.0085,0.0295,-0.0570
2022-06-01,AAPL,2022-07-15,190.0,Call,0.09,0.11,0.3238,0.0172,0.0025,-0.0081,0.022,0.0030
2022-06-01,AAPL,2022-07-15,190.0,Put,40.0,42.65,0.326,-0.9876,0.0027,-0.0049,0.018,-0.0335
2022-06-01,AAPL,2022-07-15,195.0,Call,0.06,0.09,0.3394,0.0128,0.0019,-0.0066,0.017,0.0022
2022-06-01,AAPL,2022-07-15,195.0,Put,45.05,47.6,0.3555,-0.9885,0.0024,-0.005,0.0174,-0.0336
2022-06-03,AAPL,2022-06-17,102.5,Call,42.35,43.4,0.5729,0.9992,0.0002,-0.0039,0.0007,0.0392
2022-06-03,AAPL,2022-06-17,102.5,Put,0.01,0.04,0.6601,-0.0028,0.0005,-0.0057,0.0024,-0.0002
